kecamatan,periode,jumlah_kasus
Cengkareng,2011-02-01,36
Cengkareng,2011-03-01,32
Cengkareng,2011-04-01,19
Cengkareng,2011-05-01,26
Cengkareng,2011-06-01,22
Cengkareng,2011-07-01,16
Cengkareng,2011-08-01,21
Cengkareng,2011-09-01,14
Cengkareng,2011-10-01,9
Cengkareng,2011-11-01,17
Cengkareng,2011-12-01,11
Cengkareng,2012-01-01,48
Cengkareng,2012-02-01,54
Cengkareng,2012-03-01,61
Cengkareng,2012-04-01,29
Cengkareng,2012-05-01,34
Cengkareng,2012-06-01,27
Cengkareng,2012-07-01,33
Cengkareng,2012-08-01,23
Cengkareng,2012-09-01,15
Cengkareng,2012-10-01,8
Cengkareng,2012-11-01,14
Cengkareng,2012-12-01,12
Cengkareng,2013-01-01,33
Cengkareng,2013-02-01,33
Cengkareng,2013-03-01,50
Cengkareng,2013-04-01,78
Cengkareng,2013-05-01,81
Cengkareng,2013-06-01,38
Cengkareng,2013-07-01,57
Cengkareng,2013-08-01,68
Cengkareng,2013-09-01,47
Cengkareng,2013-10-01,37
Cengkareng,2013-11-01,29
Cengkareng,2013-12-01,17
Cengkareng,2014-01-01,31
Cengkareng,2014-02-01,44
Cengkareng,2014-03-01,92
Cengkareng,2014-04-01,112
Cengkareng,2014-05-01,92
Cengkareng,2014-06-01,62
Cengkareng,2014-07-01,58
Cengkareng,2014-08-01,77
Cengkareng,2014-09-01,29
Cengkareng,2014-10-01,21
Cengkareng,2014-11-01,6
Cengkareng,2014-12-01,23
Cengkareng,2015-01-01,40
Cengkareng,2015-02-01,27
Cengkareng,2015-03-01,48
Cengkareng,2015-04-01,82
Cengkareng,2015-05-01,75
Cengkareng,2015-06-01,35
Cengkareng,2015-07-01,36
Cengkareng,2015-08-01,24
Cengkareng,2015-09-01,14
Cengkareng,2015-10-01,16
Cengkareng,2015-11-01,11
Cengkareng,2015-12-01,17
Cengkareng,2016-01-01,57
Cengkareng,2016-02-01,201
Cengkareng,2016-03-01,279
Cengkareng,2016-04-01,491
Cengkareng,2016-05-01,272
Cengkareng,2016-06-01,165
Cengkareng,2016-07-01,160
Cengkareng,2016-08-01,175
Cengkareng,2016-09-01,128
Cengkareng,2016-10-01,116
Cengkareng,2016-11-01,97
Cengkareng,2016-12-01,88
Cengkareng,2017-01-01,54
Cengkareng,2017-02-01,24
Cengkareng,2017-03-01,33
Cengkareng,2017-04-01,31
Cengkareng,2017-05-01,31
Cengkareng,2017-06-01,19
Cengkareng,2017-07-01,17
Cengkareng,2017-08-01,10
Cengkareng,2017-09-01,10
Cengkareng,2017-10-01,28
Cengkareng,2017-11-01,12
Cengkareng,2017-12-01,14
Cengkareng,2018-01-01,19
Cengkareng,2018-02-01,18
Cengkareng,2018-03-01,26
Cengkareng,2018-04-01,36
Cengkareng,2018-05-01,33
Cengkareng,2018-06-01,30
Cengkareng,2018-07-01,21
Cengkareng,2018-08-01,13
Cengkareng,2018-09-01,16
Cengkareng,2018-10-01,16
Cengkareng,2018-11-01,23
Cengkareng,2018-12-01,28
Cengkareng,2019-01-01,70
Cengkareng,2019-02-01,154
Cengkareng,2019-03-01,147
Cengkareng,2019-04-01,121
Cengkareng,2019-05-01,92
Cengkareng,2019-06-01,35
Cengkareng,2019-07-01,18
Cengkareng,2019-08-01,9
Cengkareng,2019-09-01,3
Cengkareng,2019-10-01,7
Cengkareng,2019-11-01,13
Cengkareng,2019-12-01,12
Cengkareng,2020-01-01,15
Cengkareng,2020-02-01,28
Cengkareng,2020-03-01,59
Cengkareng,2020-04-01,48
Cengkareng,2020-05-01,48
Cengkareng,2020-06-01,23
Cengkareng,2020-07-01,6
Cengkareng,2020-08-01,6
Cengkareng,2020-09-01,10
Cengkareng,2020-10-01,4
Cengkareng,2020-11-01,2
Cengkareng,2020-12-01,2
Cengkareng,2021-01-01,1
Cengkareng,2021-02-01,3
Cengkareng,2021-03-01,6
Cengkareng,2021-04-01,14
